ProjectID,BuildingID,BedroomSize,MaxAllowableIncome,TotalUnits,MedianInitialLegalRent,HighInitialLegalRent,LowInitialLegalRent,MedianActualRent,HighActualRent,LowActualRent
45265,38122,2-BR,71%-80%,2,,,,,,
45265,38122,3-BR,71%-80%,2,,,,,,
47767,49424,1-BR,71%-80%,2,800,900,700,,,
47767,49424,2-BR,71%-80%,8,850,"1,000",850,885,900,870
47767,49424,STUDIO,71%-80%,5,500,500,500,,,
47767,49429,2-BR,71%-80%,9,850,"1,125",850,,,
47767,49429,3-BR,71%-80%,9,"1,000","1,000","1,000","1,300","1,300","1,300"
47767,70671,1-BR,71%-80%,1,900,900,900,,,
47767,70671,2-BR,71%-80%,5,"1,125","1,125","1,125",,,
47767,70287,1-BR,71%-80%,5,900,900,900,,,
47767,70287,2-BR,71%-80%,2,"1,125","1,125","1,125",,,
47861,396594,2-BR,71%-80%,2,,,,,,
47888,20827,3-BR,71%-80%,4,"2,189","2,189","2,189","2,189","2,189","2,189"
47960,51236,2-BR,71%-80%,4,"1,066","1,149",844,979.5,"1,149",844
47960,59221,2-BR,71%-80%,2,274.5,275,274,290.5,295,286
48014,113781,1-BR,71%-80%,9,,,,,,
48014,113781,2-BR,71%-80%,3,,,,,,
48014,113781,STUDIO,71%-80%,2,,,,,,
48014,88674,2-BR,71%-80%,1,,,,,,
48014,88674,3-BR,71%-80%,1,,,,,,
48014,88674,4-BR,71%-80%,14,,,,,,
48254,316613,1-BR,71%-80%,3,790,790,790,,,
48254,316613,2-BR,71%-80%,3,956,956,956,,,
48254,316613,3-BR,71%-80%,5,"1,100","1,100","1,100",,,
48254,316613,4-BR,71%-80%,1,"1,232","1,232","1,232",,,
48621,120999,1-BR,71%-80%,4,,,,,,
48621,120999,2-BR,71%-80%,1,,,,,,
48621,120994,2-BR,71%-80%,3,,,,,,
48621,100201,3-BR,71%-80%,2,,,,,,
48624,330826,2-BR,71%-80%,4,,,,,,
48624,376539,2-BR,71%-80%,3,,,,,,
48624,366365,2-BR,71%-80%,4,,,,,,
48624,376557,1-BR,71%-80%,10,,,,,,
48624,376557,2-BR,71%-80%,2,,,,,,
48624,376557,3-BR,71%-80%,1,,,,,,
48624,376543,1-BR,71%-80%,4,,,,,,
48624,376543,2-BR,71%-80%,2,,,,,,
48626,197987,1-BR,71%-80%,5,,,,"1,107","1,107",426
48626,197987,STUDIO,71%-80%,1,,,,877,877,877
48626,214946,1-BR,71%-80%,1,,,,"1,400","1,400","1,400"
48626,214946,STUDIO,71%-80%,2,,,,727,"1,190",264
48626,363723,3-BR,71%-80%,5,,,,"1,541","1,541",373
48683,18990,2-BR,71%-80%,7,,,,995,"1,099",920
48683,18986,2-BR,71%-80%,10,,,,"1,009.5","1,263",875
48683,18986,3-BR,71%-80%,3,,,,962,"1,135",935
48730,118661,1-BR,71%-80%,7,,,,,,
48732,43250,1-BR,71%-80%,5,,,,,,
48732,43250,2-BR,71%-80%,17,,,,,,
48732,43250,3-BR,71%-80%,4,,,,,,
48733,386227,1-BR,71%-80%,2,,,,,,
48733,386227,2-BR,71%-80%,2,,,,,,
48735,39419,1-BR,71%-80%,6,635,848,585,,,
48735,1327,2-BR,71%-80%,4,430.5,907,260,,,
48735,20752,1-BR,71%-80%,4,613,681,511,,,
48735,20752,2-BR,71%-80%,3,779,816,774,,,
48735,20752,STUDIO,71%-80%,4,548.5,"1,040",493,,,
48746,353050,2-BR,71%-80%,4,,,,,,
48746,353050,3-BR,71%-80%,5,,,,,,
48748,381140,3-BR,71%-80%,4,,,,,,
48753,89051,3-BR,71%-80%,6,,,,,,
48753,89051,STUDIO,71%-80%,1,,,,,,
48877,951041,3-BR,71%-80%,1,,,,,,
48877,951391,3-BR,71%-80%,1,,,,,,
48877,951325,3-BR,71%-80%,1,,,,,,
48877,951079,3-BR,71%-80%,1,,,,,,
48877,951323,3-BR,71%-80%,1,,,,,,
48877,951326,3-BR,71%-80%,1,,,,,,
48877,951390,3-BR,71%-80%,1,,,,,,
48877,951389,3-BR,71%-80%,1,,,,,,
48877,951322,3-BR,71%-80%,1,,,,,,
48877,951031,3-BR,71%-80%,1,,,,,,
48877,951047,3-BR,71%-80%,1,,,,,,
48877,951039,3-BR,71%-80%,1,,,,,,
48877,951081,3-BR,71%-80%,1,,,,,,
48877,951083,3-BR,71%-80%,1,,,,,,
48877,951024,3-BR,71%-80%,1,,,,,,
48877,951321,3-BR,71%-80%,1,,,,,,
48877,951035,3-BR,71%-80%,1,,,,,,
48877,951320,3-BR,71%-80%,1,,,,,,
48877,951045,3-BR,71%-80%,1,,,,,,
48877,951324,3-BR,71%-80%,1,,,,,,
48877,951388,3-BR,71%-80%,1,,,,,,
48877,951037,3-BR,71%-80%,1,,,,,,
48877,951043,3-BR,71%-80%,1,,,,,,
48877,951392,3-BR,71%-80%,1,,,,,,
48877,951319,3-BR,71%-80%,1,,,,,,
48879,954108,1-BR,71%-80%,6,"1,135","1,135","1,135","1,135","1,135","1,135"
48879,954108,2-BR,71%-80%,7,"1,375","1,375","1,375","1,375","1,375","1,375"
48879,954108,3-BR,71%-80%,1,"1,581","1,581","1,581","1,581","1,581","1,581"
48879,954108,STUDIO,71%-80%,3,895,895,895,895,895,895
48891,88316,1-BR,71%-80%,6,,,,732,"1,121",556
48891,88316,2-BR,71%-80%,16,,,,986,"1,258",570
48891,88316,3-BR,71%-80%,5,,,,806,"1,160",654
48908,358597,3-BR,71%-80%,2,"1,722","1,722","1,722",,,
48908,330827,2-BR,71%-80%,4,"1,493","1,493","1,493",,,
48908,375049,3-BR,71%-80%,4,"1,722","1,722","1,722",,,
48908,352128,1-BR,71%-80%,1,"1,236","1,236","1,236",,,
48908,352128,2-BR,71%-80%,2,"1,493","1,493","1,493",,,
48908,330823,2-BR,71%-80%,1,"1,493","1,493","1,493",0,0,0
48908,375083,3-BR,71%-80%,2,"1,493","1,493","1,493",,,
49010,346924,2-BR,71%-80%,2,"1,416","1,416","1,416",,,
